transaction_date,branch_id,total_revenue,order_count,customer_count,new_customers,repeat_customers,staff_count,avg_prep_time,avg_review_score,avg_order_value,peak_hour,day_of_week,is_weekend,unique_products_sold,product_diversity_score,total_cost,waste_cost
2023-01-01,3,851.45,184,184,94,90,5,6.09,4.78,4.63,17,6,1,49,0.6125,348.09,11.36
2023-01-02,3,828.8,195,195,70,125,5,7.1,4.47,4.25,13,0,0,50,0.625,328.5,11.06
2023-01-03,3,906.25,211,211,91,120,6,5.74,4.41,4.3,8,1,0,51,0.6375,319.16,11.75
2023-01-04,3,781.65,170,170,76,94,5,5.37,4.76,4.6,18,2,0,49,0.6125,243.0,6.5
2023-01-05,3,714.9,168,168,60,108,5,5.58,4.79,4.26,16,3,0,50,0.625,237.13,10.37
2023-01-06,3,767.2,176,176,70,106,5,5.7,4.74,4.36,8,4,0,52,0.65,272.37,8.38
2023-01-07,3,1024.1,222,222,121,101,6,5.66,4.56,4.61,10,5,1,59,0.7375,362.64,12.71
2023-01-08,3,872.83,196,196,105,91,5,6.59,4.66,4.45,10,6,1,61,0.7625,297.54,7.96
2023-01-09,3,894.4,194,194,86,108,5,6.59,4.78,4.61,10,0,0,58,0.725,274.22,8.19
2023-01-10,3,808.1,189,189,83,106,5,5.76,4.59,4.28,10,1,0,61,0.7625,317.06,11.38
2023-01-11,3,974.55,212,212,92,120,6,5.9,4.5,4.6,10,2,0,59,0.7375,359.13,8.59
2023-01-12,3,751.9,179,179,73,106,5,5.94,4.57,4.2,9,3,0,57,0.7125,236.22,6.84
2023-01-13,3,1362.6,257,257,95,162,6,8.82,4.47,5.3,8,4,0,67,0.8375,454.12,19.09
2023-01-14,3,1143.81,241,241,109,132,6,7.16,4.72,4.75,8,5,1,68,0.85,409.75,17.53
2023-01-15,3,962.43,202,202,117,85,6,5.05,4.77,4.76,7,6,1,64,0.8,307.87,9.49
2023-01-16,3,951.15,206,206,71,135,6,5.55,4.54,4.62,10,0,0,61,0.7625,333.62,10.01
2023-01-17,3,1421.5,138,138,56,82,5,5.36,4.45,10.3,9,1,0,54,0.675,491.28,21.59
2023-01-18,3,846.1,188,188,64,124,5,6.01,4.79,4.5,8,2,0,61,0.7625,290.03,8.54
2023-01-19,3,1046.25,212,212,72,140,3,25.0,3.89,4.94,7,3,0,65,0.8125,329.68,13.73
2023-01-20,3,940.75,198,198,85,113,5,6.41,4.59,4.75,8,4,0,60,0.75,329.9,6.8
2023-01-21,3,1075.5,233,233,138,95,6,6.24,4.71,4.62,8,5,1,62,0.775,437.03,13.25
2023-01-22,3,621.45,139,139,69,70,5,5.11,4.72,4.47,9,6,1,54,0.675,208.93,6.31
2023-01-23,3,1026.1,217,217,66,151,6,5.92,4.41,4.73,11,0,0,62,0.775,326.84,11.34
2023-01-24,3,841.1,173,173,74,99,5,5.6,4.43,4.86,8,1,0,59,0.7375,278.25,12.19
2023-01-25,3,840.7,180,180,77,103,5,5.42,4.76,4.67,8,2,0,56,0.7,315.58,14.43
2023-01-26,3,856.43,185,185,70,115,5,6.3,4.6,4.63,7,3,0,60,0.75,301.2,9.92
2023-01-27,3,760.05,181,181,56,125,5,6.02,4.72,4.2,10,4,0,51,0.6375,244.39,12.13
2023-01-28,3,699.65,162,162,77,85,5,5.4,4.74,4.32,16,5,1,50,0.625,233.17,10.4
