transaction_date,anomaly,score,avg_review_score
2025-07-06,0,-0.5104352350870015,4.69
2025-07-07,0,-0.4564473224104391,4.72
2025-07-08,0,-0.42327642200659393,4.62
2025-07-09,0,-0.4589021065371298,4.49
2025-07-10,0,-0.46946198539746986,4.79
2025-07-11,0,-0.5108725595178524,4.47
2025-07-12,0,-0.4834163239623909,4.61
2025-07-13,0,-0.5609406041435437,4.53
2025-07-14,0,-0.5145649677570256,4.48
2025-07-15,0,-0.45404069013180975,4.7
2025-07-16,0,-0.5273183328082045,4.53
2025-07-17,0,-0.5221689197272398,4.68
2025-07-18,0,-0.49223960418408547,4.45
2025-07-19,0,-0.5247889582242469,4.51
2025-07-20,0,-0.5272568846919286,4.65
2025-07-21,0,-0.5257440556805821,4.79
2025-07-22,0,-0.4298218073934015,4.53
2025-07-23,0,-0.4646190031004966,4.76
2025-07-24,0,-0.4520562697356474,4.67
2025-07-25,0,-0.43405545486874103,4.53
2025-07-26,0,-0.5254522707594715,4.75
2025-07-27,0,-0.5704523062860961,4.57
2025-07-28,0,-0.45382275037068737,4.68
2025-07-29,0,-0.4198203468656573,4.52
2025-07-30,0,-0.43414809940991994,4.66
2025-07-31,0,-0.4321346574560685,4.62
2025-08-01,0,-0.45073847072268647,4.54
2025-08-02,0,-0.5643296032615099,4.79
2025-08-03,0,-0.5008244103098224,4.71
2025-08-04,0,-0.4947108205774572,4.51
2025-08-05,0,-0.4970368035021964,4.54
2025-08-06,0,-0.4597902891501885,4.61
2025-08-07,0,-0.40977727079131215,4.45
2025-08-08,0,-0.4162800087927284,4.55
2025-08-09,0,-0.4896337798771788,4.69
2025-08-10,0,-0.4914894060782791,4.54
2025-08-11,0,-0.5534216631056551,4.46
2025-08-12,0,-0.4540702337495196,4.46
2025-08-13,0,-0.44676017035821447,4.56
2025-08-14,0,-0.5033595966655537,4.8
2025-08-15,0,-0.4418511147805756,4.62
2025-08-16,0,-0.5221249205212456,4.71
2025-08-17,0,-0.5411402028176753,4.49
2025-08-18,0,-0.5619911428741414,4.79
2025-08-19,0,-0.4996669379217072,4.48
2025-08-20,0,-0.47784346851979553,4.47
2025-08-21,0,-0.45250129009937945,4.53
2025-08-22,0,-0.4383507269988644,4.5
2025-08-23,0,-0.49708496497702204,4.7
2025-08-24,0,-0.5069244908123254,4.46
2025-08-25,0,-0.4739251692988946,4.47
2025-08-26,0,-0.5321286264090316,4.65
2025-08-27,0,-0.43141845548835756,4.43
2025-08-28,0,-0.41918866995409754,4.68
2025-08-29,0,-0.42883017099342685,4.67
2025-08-30,0,-0.49224185593216413,4.58
2025-08-31,0,-0.5000929974028496,4.42
2025-09-01,0,-0.44590686133849156,4.58
2025-09-02,0,-0.4628540522846913,4.47
2025-09-03,0,-0.45214126344144406,4.62
2025-09-04,0,-0.40892872893411075,4.5
2025-09-05,0,-0.45455543105370805,4.65
2025-09-06,0,-0.4802285811268001,4.46
2025-09-07,1,-0.626625207373487,3.97
2025-09-08,0,-0.5165622361242328,4.59
2025-09-09,0,-0.43206251615166363,4.51
2025-09-10,0,-0.43993292719018645,4.53
2025-09-11,0,-0.4459683650572205,4.74
2025-09-12,0,-0.46293199079644015,4.7
2025-09-13,0,-0.4823794452963724,4.65
2025-09-14,0,-0.5347908446505588,4.59
2025-09-15,0,-0.48131424168396086,4.76
2025-09-16,0,-0.47397553749532584,4.46
2025-09-17,0,-0.4760341290733701,4.73
2025-09-18,0,-0.4491828990633101,4.63
2025-09-19,0,-0.4888456367818304,4.53
2025-09-20,0,-0.5372825368641689,4.76
2025-09-21,0,-0.5312599942714693,4.76
2025-09-22,0,-0.4964521543313099,4.52
2025-09-23,0,-0.4815219398748941,4.54
2025-09-24,0,-0.4489929532167627,4.78
2025-09-25,0,-0.4382937435304588,4.53
2025-09-26,0,-0.4182952239690726,4.55
