changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,changepoint_range,horizon,interval_width,rmse,mae,mape,smape,coverage,objective,regressor_count
0.05,1.0,additive,0.9,30,0.8,59.46549868774267,47.40866840971916,0.13135958315411314,0.11995568049756748,0.6,59.46549868774267,2
0.05,1.0,additive,0.9,30,0.9,59.46549868774267,47.40866840971916,0.13135958315411314,0.11995568049756748,0.7333333333333333,59.46549868774267,2
0.05,1.0,additive,0.9,30,0.95,59.46549868774267,47.40866840971916,0.13135958315411314,0.11995568049756748,0.8666666666666667,59.46549868774267,2
0.05,5.0,additive,0.9,30,0.8,59.59527110962577,47.48326466726469,0.13161436261913306,0.1201122622018203,0.6333333333333333,59.59527110962577,2
0.05,5.0,additive,0.9,30,0.9,59.59527110962577,47.48326466726469,0.13161436261913306,0.1201122622018203,0.7333333333333333,59.59527110962577,2
0.05,5.0,additive,0.9,30,0.95,59.59527110962577,47.48326466726469,0.13161436261913306,0.1201122622018203,0.8666666666666667,59.59527110962577,2
0.05,10.0,additive,0.9,30,0.8,59.68482549792076,47.49898612832916,0.13173698602976106,0.12013262472195076,0.6333333333333333,59.68482549792076,2
0.05,10.0,additive,0.9,30,0.9,59.68482549792076,47.49898612832916,0.13173698602976106,0.12013262472195076,0.7,59.68482549792076,2
0.05,10.0,additive,0.9,30,0.95,59.68482549792076,47.49898612832916,0.13173698602976106,0.12013262472195076,0.8666666666666667,59.68482549792076,2
0.05,5.0,additive,0.8,30,0.8,59.74412889089082,47.53151551595588,0.13183543829126362,0.12020162844941153,0.6333333333333333,59.74412889089082,2
0.05,5.0,additive,0.8,30,0.9,59.74412889089082,47.53151551595588,0.13183543829126362,0.12020162844941153,0.7333333333333333,59.74412889089082,2
0.05,5.0,additive,0.8,30,0.95,59.74412889089082,47.53151551595588,0.13183543829126362,0.12020162844941153,0.8333333333333334,59.74412889089082,2
0.05,1.0,additive,0.8,30,0.8,59.750897095183824,47.54200825151333,0.13186419011587727,0.12022476952338705,0.6,59.750897095183824,2
0.05,1.0,additive,0.8,30,0.9,59.750897095183824,47.54200825151333,0.13186419011587727,0.12022476952338705,0.7,59.750897095183824,2
0.05,1.0,additive,0.8,30,0.95,59.750897095183824,47.54200825151333,0.13186419011587727,0.12022476952338705,0.8666666666666667,59.750897095183824,2
0.05,10.0,additive,0.8,30,0.8,59.79017665063079,47.552885484264316,0.13191519858834652,0.12024703054991734,0.6333333333333333,59.79017665063079,2
0.05,10.0,additive,0.8,30,0.9,59.79017665063079,47.552885484264316,0.13191519858834652,0.12024703054991734,0.7,59.79017665063079,2
0.05,10.0,additive,0.8,30,0.95,59.79017665063079,47.552885484264316,0.13191519858834652,0.12024703054991734,0.8666666666666667,59.79017665063079,2
0.05,10.0,multiplicative,0.8,30,0.8,61.54579855079676,48.35553589403399,0.13395361741913073,0.12215337865127728,0.5666666666666667,61.54579855079676,2
0.05,10.0,multiplicative,0.8,30,0.9,61.54579855079676,48.35553589403399,0.13395361741913073,0.12215337865127728,0.7333333333333333,61.54579855079676,2
0.05,10.0,multiplicative,0.8,30,0.95,61.54579855079676,48.35553589403399,0.13395361741913073,0.12215337865127728,0.8333333333333334,61.54579855079676,2
0.05,1.0,multiplicative,0.8,30,0.8,61.758173185083606,48.50612762419924,0.13444895398682535,0.12247715991365574,0.5666666666666667,61.758173185083606,2
0.05,1.0,multiplicative,0.8,30,0.9,61.758173185083606,48.50612762419924,0.13444895398682535,0.12247715991365574,0.7333333333333333,61.758173185083606,2
0.05,1.0,multiplicative,0.8,30,0.95,61.758173185083606,48.50612762419924,0.13444895398682535,0.12247715991365574,0.8,61.758173185083606,2
0.1,1.0,additive,0.8,30,0.8,62.452238454023146,48.72542291860124,0.13627085434065134,0.12261038162842502,0.6333333333333333,62.452238454023146,2
0.1,1.0,additive,0.8,30,0.9,62.452238454023146,48.72542291860124,0.13627085434065134,0.12261038162842502,0.7333333333333333,62.452238454023146,2
0.1,1.0,additive,0.8,30,0.95,62.452238454023146,48.72542291860124,0.13627085434065134,0.12261038162842502,0.8,62.452238454023146,2
0.1,10.0,additive,0.8,30,0.8,62.46306850685384,48.726641067027494,0.13628006706563747,0.12261170713545773,0.6,62.46306850685384,2
0.1,10.0,additive,0.8,30,0.9,62.46306850685384,48.726641067027494,0.13628006706563747,0.12261170713545773,0.7333333333333333,62.46306850685384,2
0.1,10.0,additive,0.8,30,0.95,62.46306850685384,48.726641067027494,0.13628006706563747,0.12261170713545773,0.8,62.46306850685384,2
0.1,5.0,additive,0.8,30,0.8,62.498864216955035,48.73935730146207,0.13633003195720997,0.12263614196220658,0.5666666666666667,62.498864216955035,2
0.1,5.0,additive,0.8,30,0.9,62.498864216955035,48.73935730146207,0.13633003195720997,0.12263614196220658,0.7333333333333333,62.498864216955035,2
0.1,5.0,additive,0.8,30,0.95,62.498864216955035,48.73935730146207,0.13633003195720997,0.12263614196220658,0.8,62.498864216955035,2
0.05,5.0,multiplicative,0.9,30,0.8,62.72223142931387,49.15715345757546,0.1366830832202496,0.12383084147979789,0.6666666666666666,62.72223142931387,2
0.05,5.0,multiplicative,0.9,30,0.9,62.72223142931387,49.15715345757546,0.1366830832202496,0.12383084147979789,0.7333333333333333,62.72223142931387,2
0.05,5.0,multiplicative,0.9,30,0.95,62.72223142931387,49.15715345757546,0.1366830832202496,0.12383084147979789,0.8333333333333334,62.72223142931387,2
0.05,10.0,multiplicative,0.9,30,0.8,62.748035380184305,49.170722467360626,0.13673039734734233,0.12385908508234675,0.6333333333333333,62.748035380184305,2
0.05,10.0,multiplicative,0.9,30,0.9,62.748035380184305,49.170722467360626,0.13673039734734233,0.12385908508234675,0.7333333333333333,62.748035380184305,2
0.05,10.0,multiplicative,0.9,30,0.95,62.748035380184305,49.170722467360626,0.13673039734734233,0.12385908508234675,0.8333333333333334,62.748035380184305,2
0.05,1.0,multiplicative,0.9,30,0.8,62.78554108481984,49.20637255488514,0.1368477482336504,0.123936025387312,0.6666666666666666,62.78554108481984,2
0.05,1.0,multiplicative,0.9,30,0.9,62.78554108481984,49.20637255488514,0.1368477482336504,0.123936025387312,0.7,62.78554108481984,2
0.05,1.0,multiplicative,0.9,30,0.95,62.78554108481984,49.20637255488514,0.1368477482336504,0.123936025387312,0.8,62.78554108481984,2
0.05,5.0,multiplicative,0.8,30,0.8,62.94932722074126,49.2985029361022,0.137155491513187,0.12412832742515008,0.6666666666666666,62.94932722074126,2
0.05,5.0,multiplicative,0.8,30,0.9,62.94932722074126,49.2985029361022,0.137155491513187,0.12412832742515008,0.7333333333333333,62.94932722074126,2
0.05,5.0,multiplicative,0.8,30,0.95,62.94932722074126,49.2985029361022,0.137155491513187,0.12412832742515008,0.8333333333333334,62.94932722074126,2
0.1,5.0,additive,0.9,30,0.8,63.19703521128399,49.033380773150746,0.13738661200888458,0.12322867898599305,0.6,63.19703521128399,2
0.1,5.0,additive,0.9,30,0.9,63.19703521128399,49.033380773150746,0.13738661200888458,0.12322867898599305,0.7333333333333333,63.19703521128399,2
0.1,5.0,additive,0.9,30,0.95,63.19703521128399,49.033380773150746,0.13738661200888458,0.12322867898599305,0.8,63.19703521128399,2
0.1,10.0,additive,0.9,30,0.8,63.22144401452635,49.04900467095422,0.1374351569924608,0.12326186411730619,0.5666666666666667,63.22144401452635,2
0.1,10.0,additive,0.9,30,0.9,63.22144401452635,49.04900467095422,0.1374351569924608,0.12326186411730619,0.7333333333333333,63.22144401452635,2
0.1,10.0,additive,0.9,30,0.95,63.22144401452635,49.04900467095422,0.1374351569924608,0.12326186411730619,0.8,63.22144401452635,2
0.1,1.0,additive,0.9,30,0.8,63.42879211999874,49.159930321520456,0.13780149778679882,0.12349145572598788,0.5666666666666667,63.42879211999874,2
0.1,1.0,additive,0.9,30,0.9,63.42879211999874,49.159930321520456,0.13780149778679882,0.12349145572598788,0.7333333333333333,63.42879211999874,2
0.1,1.0,additive,0.9,30,0.95,63.42879211999874,49.159930321520456,0.13780149778679882,0.12349145572598788,0.7333333333333333,63.42879211999874,2
0.2,5.0,additive,0.9,30,0.8,63.928870130107974,49.38460095407103,0.13859809439477475,0.12394333394216779,0.5666666666666667,63.928870130107974,2
0.2,5.0,additive,0.9,30,0.9,63.928870130107974,49.38460095407103,0.13859809439477475,0.12394333394216779,0.7333333333333333,63.928870130107974,2
0.2,5.0,additive,0.9,30,0.95,63.928870130107974,49.38460095407103,0.13859809439477475,0.12394333394216779,0.8,63.928870130107974,2
0.2,1.0,additive,0.9,30,0.8,64.13372674051836,49.52163842235034,0.13901658628137623,0.12423613595422268,0.5666666666666667,64.13372674051836,2
0.2,1.0,additive,0.9,30,0.9,64.13372674051836,49.52163842235034,0.13901658628137623,0.12423613595422268,0.7333333333333333,64.13372674051836,2
0.2,1.0,additive,0.9,30,0.95,64.13372674051836,49.52163842235034,0.13901658628137623,0.12423613595422268,0.7666666666666667,64.13372674051836,2
0.2,1.0,additive,0.8,30,0.8,64.22673911332402,49.57039938447526,0.13918118553007403,0.12433788230561141,0.5666666666666667,64.22673911332402,2
0.2,1.0,additive,0.8,30,0.9,64.22673911332402,49.57039938447526,0.13918118553007403,0.12433788230561141,0.7,64.22673911332402,2
0.2,1.0,additive,0.8,30,0.95,64.22673911332402,49.57039938447526,0.13918118553007403,0.12433788230561141,0.7333333333333333,64.22673911332402,2
0.2,10.0,additive,0.9,30,0.8,64.35838771050173,49.657025331182616,0.1394486947914695,0.12452328967260931,0.5666666666666667,64.35838771050173,2
0.2,10.0,additive,0.9,30,0.9,64.35838771050173,49.657025331182616,0.1394486947914695,0.12452328967260931,0.7,64.35838771050173,2
0.2,10.0,additive,0.9,30,0.95,64.35838771050173,49.657025331182616,0.1394486947914695,0.12452328967260931,0.7333333333333333,64.35838771050173,2
0.2,5.0,additive,0.8,30,0.8,64.43467835565913,49.70654155021503,0.1396003136061427,0.12462873388283444,0.5666666666666667,64.43467835565913,2
0.2,5.0,additive,0.8,30,0.9,64.43467835565913,49.70654155021503,0.1396003136061427,0.12462873388283444,0.7,64.43467835565913,2
0.2,5.0,additive,0.8,30,0.95,64.43467835565913,49.70654155021503,0.1396003136061427,0.12462873388283444,0.7666666666666667,64.43467835565913,2
0.2,10.0,additive,0.8,30,0.8,64.56754274827584,49.80443441105792,0.1398958837942875,0.12484174477395131,0.6,64.56754274827584,2
0.2,10.0,additive,0.8,30,0.9,64.56754274827584,49.80443441105792,0.1398958837942875,0.12484174477395131,0.7,64.56754274827584,2
0.2,10.0,additive,0.8,30,0.95,64.56754274827584,49.80443441105792,0.1398958837942875,0.12484174477395131,0.7666666666666667,64.56754274827584,2
0.1,10.0,multiplicative,0.8,30,0.8,65.61017975723834,50.81197188225122,0.142316802901655,0.12724767700383546,0.6,65.61017975723834,2
0.1,10.0,multiplicative,0.8,30,0.9,65.61017975723834,50.81197188225122,0.142316802901655,0.12724767700383546,0.7333333333333333,65.61017975723834,2
0.1,10.0,multiplicative,0.8,30,0.95,65.61017975723834,50.81197188225122,0.142316802901655,0.12724767700383546,0.7666666666666667,65.61017975723834,2
0.1,5.0,multiplicative,0.8,30,0.8,65.62301828319251,50.821189118713356,0.1423443238883544,0.12726839981643628,0.6,65.62301828319251,2
0.1,5.0,multiplicative,0.8,30,0.9,65.62301828319251,50.821189118713356,0.1423443238883544,0.12726839981643628,0.7,65.62301828319251,2
0.1,5.0,multiplicative,0.8,30,0.95,65.62301828319251,50.821189118713356,0.1423443238883544,0.12726839981643628,0.7666666666666667,65.62301828319251,2
0.1,1.0,multiplicative,0.9,30,0.8,65.65380656174177,50.84870615972631,0.14242457596756344,0.12733055870463011,0.6,65.65380656174177,2
0.1,1.0,multiplicative,0.9,30,0.9,65.65380656174177,50.84870615972631,0.14242457596756344,0.12733055870463011,0.7333333333333333,65.65380656174177,2
