changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,changepoint_range,horizon,interval_width,rmse,mae,mape,smape,coverage,objective,regressor_count
0.1,5.0,multiplicative,0.9,30,0.8,13.717601217247282,11.990294193955048,0.029615800695615077,0.029605915559075054,0.6666666666666666,13.717601217247282,9
0.1,5.0,multiplicative,0.9,30,0.9,13.717601217247282,11.990294193955048,0.029615800695615077,0.029605915559075054,0.9333333333333333,13.717601217247282,9
0.1,5.0,multiplicative,0.9,30,0.95,13.717601217247282,11.990294193955048,0.029615800695615077,0.029605915559075054,0.9666666666666667,13.717601217247282,9
0.1,5.0,multiplicative,0.8,30,0.8,13.724550513721503,11.992225973005949,0.02958783808081964,0.029596668209945515,0.7666666666666667,13.724550513721503,9
0.1,5.0,multiplicative,0.8,30,0.9,13.724550513721503,11.992225973005949,0.02958783808081964,0.029596668209945515,0.9333333333333333,13.724550513721503,9
0.1,5.0,multiplicative,0.8,30,0.95,13.724550513721503,11.992225973005949,0.02958783808081964,0.029596668209945515,0.9666666666666667,13.724550513721503,9
0.1,1.0,multiplicative,0.8,30,0.8,13.730809514964992,12.001061678872711,0.029651868489931028,0.029638345432692746,0.6666666666666666,13.730809514964992,9
0.1,1.0,multiplicative,0.8,30,0.9,13.730809514964992,12.001061678872711,0.029651868489931028,0.029638345432692746,0.9333333333333333,13.730809514964992,9
0.1,1.0,multiplicative,0.8,30,0.95,13.730809514964992,12.001061678872711,0.029651868489931028,0.029638345432692746,0.9666666666666667,13.730809514964992,9
0.1,1.0,multiplicative,0.9,30,0.8,13.733683134322437,12.007745364378332,0.02967319906084254,0.02965897311513512,0.7333333333333333,13.733683134322437,9
0.1,1.0,multiplicative,0.9,30,0.9,13.733683134322437,12.007745364378332,0.02967319906084254,0.02965897311513512,0.9333333333333333,13.733683134322437,9
0.1,1.0,multiplicative,0.9,30,0.95,13.733683134322437,12.007745364378332,0.02967319906084254,0.02965897311513512,0.9666666666666667,13.733683134322437,9
0.1,10.0,multiplicative,0.9,30,0.8,13.734796736623975,12.009097234992163,0.029688258209125618,0.02966916486513452,0.7,13.734796736623975,9
0.1,10.0,multiplicative,0.9,30,0.9,13.734796736623975,12.009097234992163,0.029688258209125618,0.02966916486513452,0.9333333333333333,13.734796736623975,9
0.1,10.0,multiplicative,0.9,30,0.95,13.734796736623975,12.009097234992163,0.029688258209125618,0.02966916486513452,0.9666666666666667,13.734796736623975,9
0.1,10.0,multiplicative,0.8,30,0.8,13.740570598240073,12.006745978910812,0.02962690592433653,0.029634352329728383,0.7333333333333333,13.740570598240073,9
0.1,10.0,multiplicative,0.8,30,0.9,13.740570598240073,12.006745978910812,0.02962690592433653,0.029634352329728383,0.9333333333333333,13.740570598240073,9
0.1,10.0,multiplicative,0.8,30,0.95,13.740570598240073,12.006745978910812,0.02962690592433653,0.029634352329728383,0.9666666666666667,13.740570598240073,9
0.05,5.0,multiplicative,0.8,30,0.8,13.833252984149738,12.087649026045966,0.030168562773250574,0.03003367087543828,0.7,13.833252984149738,9
0.05,5.0,multiplicative,0.8,30,0.9,13.833252984149738,12.087649026045966,0.030168562773250574,0.03003367087543828,0.9333333333333333,13.833252984149738,9
0.05,5.0,multiplicative,0.8,30,0.95,13.833252984149738,12.087649026045966,0.030168562773250574,0.03003367087543828,1.0,13.833252984149738,9
0.2,5.0,multiplicative,0.8,30,0.8,13.834165911188304,12.014697673572133,0.02951184726453029,0.029598220191402413,0.7333333333333333,13.834165911188304,9
0.2,5.0,multiplicative,0.8,30,0.9,13.834165911188304,12.014697673572133,0.02951184726453029,0.029598220191402413,0.9333333333333333,13.834165911188304,9
0.2,5.0,multiplicative,0.8,30,0.95,13.834165911188304,12.014697673572133,0.02951184726453029,0.029598220191402413,0.9666666666666667,13.834165911188304,9
0.2,10.0,multiplicative,0.9,30,0.8,13.841460182037917,12.003768790958437,0.029458139149438265,0.029560272234881543,0.7666666666666667,13.841460182037917,9
0.2,10.0,multiplicative,0.9,30,0.9,13.841460182037917,12.003768790958437,0.029458139149438265,0.029560272234881543,0.9333333333333333,13.841460182037917,9
0.2,10.0,multiplicative,0.9,30,0.95,13.841460182037917,12.003768790958437,0.029458139149438265,0.029560272234881543,0.9666666666666667,13.841460182037917,9
0.2,1.0,multiplicative,0.8,30,0.8,13.85567147586545,12.02065033447182,0.029507990748153568,0.02960733962627392,0.8,13.85567147586545,9
0.2,1.0,multiplicative,0.8,30,0.9,13.85567147586545,12.02065033447182,0.029507990748153568,0.02960733962627392,0.9333333333333333,13.85567147586545,9
0.2,1.0,multiplicative,0.8,30,0.95,13.85567147586545,12.02065033447182,0.029507990748153568,0.02960733962627392,0.9666666666666667,13.85567147586545,9
0.2,10.0,multiplicative,0.8,30,0.8,13.856948517699486,12.015381870954636,0.029485876624035505,0.02958792270166899,0.8,13.856948517699486,9
0.2,10.0,multiplicative,0.8,30,0.9,13.856948517699486,12.015381870954636,0.029485876624035505,0.02958792270166899,0.9333333333333333,13.856948517699486,9
0.2,10.0,multiplicative,0.8,30,0.95,13.856948517699486,12.015381870954636,0.029485876624035505,0.02958792270166899,0.9666666666666667,13.856948517699486,9
0.2,5.0,multiplicative,0.9,30,0.8,13.868204044995466,12.021453799513905,0.02949518874454684,0.029603514442263553,0.8,13.868204044995466,9
0.2,5.0,multiplicative,0.9,30,0.9,13.868204044995466,12.021453799513905,0.02949518874454684,0.029603514442263553,0.9,13.868204044995466,9
0.2,5.0,multiplicative,0.9,30,0.95,13.868204044995466,12.021453799513905,0.02949518874454684,0.029603514442263553,0.9333333333333333,13.868204044995466,9
0.2,1.0,multiplicative,0.9,30,0.8,13.869430902282012,12.018173158456536,0.029485901440437858,0.029595181291822703,0.8,13.869430902282012,9
0.2,1.0,multiplicative,0.9,30,0.9,13.869430902282012,12.018173158456536,0.029485901440437858,0.029595181291822703,0.9333333333333333,13.869430902282012,9
0.2,1.0,multiplicative,0.9,30,0.95,13.869430902282012,12.018173158456536,0.029485901440437858,0.029595181291822703,0.9666666666666667,13.869430902282012,9
0.05,5.0,multiplicative,0.9,30,0.8,13.89800963587894,12.142222923869175,0.03034479080621693,0.030185798413300522,0.7,13.89800963587894,9
0.05,5.0,multiplicative,0.9,30,0.9,13.89800963587894,12.142222923869175,0.03034479080621693,0.030185798413300522,0.9666666666666667,13.89800963587894,9
0.05,5.0,multiplicative,0.9,30,0.95,13.89800963587894,12.142222923869175,0.03034479080621693,0.030185798413300522,1.0,13.89800963587894,9
0.05,10.0,multiplicative,0.8,30,0.8,13.916374559625982,12.164644833299375,0.030383796526214705,0.030235496796010678,0.7333333333333333,13.916374559625982,9
0.05,10.0,multiplicative,0.8,30,0.9,13.916374559625982,12.164644833299375,0.030383796526214705,0.030235496796010678,0.9,13.916374559625982,9
0.05,10.0,multiplicative,0.8,30,0.95,13.916374559625982,12.164644833299375,0.030383796526214705,0.030235496796010678,1.0,13.916374559625982,9
0.2,5.0,additive,0.9,30,0.8,13.919182232352489,12.348820048688642,0.03123871995191623,0.0310397910106814,0.6666666666666666,13.919182232352489,9
0.2,5.0,additive,0.9,30,0.9,13.919182232352489,12.348820048688642,0.03123871995191623,0.0310397910106814,0.9,13.919182232352489,9
0.2,5.0,additive,0.9,30,0.95,13.919182232352489,12.348820048688642,0.03123871995191623,0.0310397910106814,0.9666666666666667,13.919182232352489,9
0.2,10.0,additive,0.9,30,0.8,13.939433923351398,12.360339122000036,0.031278555163958804,0.031075118434924224,0.6666666666666666,13.939433923351398,9
0.2,10.0,additive,0.9,30,0.9,13.939433923351398,12.360339122000036,0.031278555163958804,0.031075118434924224,0.9333333333333333,13.939433923351398,9
0.2,10.0,additive,0.9,30,0.95,13.939433923351398,12.360339122000036,0.031278555163958804,0.031075118434924224,0.9666666666666667,13.939433923351398,9
0.05,1.0,multiplicative,0.8,30,0.8,13.944477089818928,12.192571881588432,0.030499349477697217,0.030335690607487132,0.7,13.944477089818928,9
0.05,1.0,multiplicative,0.8,30,0.9,13.944477089818928,12.192571881588432,0.030499349477697217,0.030335690607487132,0.9333333333333333,13.944477089818928,9
0.05,1.0,multiplicative,0.8,30,0.95,13.944477089818928,12.192571881588432,0.030499349477697217,0.030335690607487132,1.0,13.944477089818928,9
0.2,10.0,additive,0.8,30,0.8,13.963208323461155,12.379029320644785,0.03134732691520412,0.031135987992296933,0.7333333333333333,13.963208323461155,9
0.2,10.0,additive,0.8,30,0.9,13.963208323461155,12.379029320644785,0.03134732691520412,0.031135987992296933,0.9,13.963208323461155,9
0.2,10.0,additive,0.8,30,0.95,13.963208323461155,12.379029320644785,0.03134732691520412,0.031135987992296933,1.0,13.963208323461155,9
0.2,5.0,additive,0.8,30,0.8,13.980136370556059,12.380609418692574,0.03136684037884145,0.031147875908816864,0.6666666666666666,13.980136370556059,9
0.2,5.0,additive,0.8,30,0.9,13.980136370556059,12.380609418692574,0.03136684037884145,0.031147875908816864,0.9,13.980136370556059,9
0.2,5.0,additive,0.8,30,0.95,13.980136370556059,12.380609418692574,0.03136684037884145,0.031147875908816864,0.9666666666666667,13.980136370556059,9
0.2,1.0,additive,0.9,30,0.8,13.987655231656774,12.391595250519996,0.03139863535733513,0.03118069019432757,0.7,13.987655231656774,9
0.2,1.0,additive,0.9,30,0.9,13.987655231656774,12.391595250519996,0.03139863535733513,0.03118069019432757,0.8666666666666667,13.987655231656774,9
0.2,1.0,additive,0.9,30,0.95,13.987655231656774,12.391595250519996,0.03139863535733513,0.03118069019432757,0.9666666666666667,13.987655231656774,9
0.05,1.0,multiplicative,0.9,30,0.8,13.987705531671189,12.216921408204456,0.030558699882196786,0.030382483090824794,0.7,13.987705531671189,9
0.05,1.0,multiplicative,0.9,30,0.9,13.987705531671189,12.216921408204456,0.030558699882196786,0.030382483090824794,0.9,13.987705531671189,9
0.05,1.0,multiplicative,0.9,30,0.95,13.987705531671189,12.216921408204456,0.030558699882196786,0.030382483090824794,1.0,13.987705531671189,9
0.2,1.0,additive,0.8,30,0.8,14.015612365503586,12.405453254640669,0.03146149288862734,0.03123238401559595,0.6666666666666666,14.015612365503586,9
0.2,1.0,additive,0.8,30,0.9,14.015612365503586,12.405453254640669,0.03146149288862734,0.03123238401559595,0.8666666666666667,14.015612365503586,9
0.2,1.0,additive,0.8,30,0.95,14.015612365503586,12.405453254640669,0.03146149288862734,0.03123238401559595,1.0,14.015612365503586,9
0.05,10.0,multiplicative,0.9,30,0.8,14.106979762436419,12.30683249995093,0.030903483140641837,0.030677791489387634,0.7,14.106979762436419,9
0.05,10.0,multiplicative,0.9,30,0.9,14.106979762436419,12.30683249995093,0.030903483140641837,0.030677791489387634,0.9333333333333333,14.106979762436419,9
0.05,10.0,multiplicative,0.9,30,0.95,14.106979762436419,12.30683249995093,0.030903483140641837,0.030677791489387634,1.0,14.106979762436419,9
