changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,changepoint_range,horizon,interval_width,rmse,mae,mape,smape,coverage,objective,regressor_count
0.2,10.0,additive,0.9,30,0.8,0.0011974355751076947,0.0010751267811106877,2.818969077799971e-06,2.8189739842777308e-06,1.0,0.0011974355751076947,10
0.2,10.0,additive,0.9,30,0.9,0.0011974355751076947,0.0010751267811106877,2.818969077799971e-06,2.8189739842777308e-06,1.0,0.0011974355751076947,10
0.2,10.0,additive,0.9,30,0.95,0.0011974355751076947,0.0010751267811106877,2.818969077799971e-06,2.8189739842777308e-06,1.0,0.0011974355751076947,10
0.2,5.0,additive,0.9,30,0.8,0.00304275235455811,0.002482823629162567,6.77907657701659e-06,6.7791138065258045e-06,1.0,0.00304275235455811,10
0.2,5.0,additive,0.9,30,0.9,0.00304275235455811,0.002482823629162567,6.77907657701659e-06,6.7791138065258045e-06,1.0,0.00304275235455811,10
0.2,5.0,additive,0.9,30,0.95,0.00304275235455811,0.002482823629162567,6.77907657701659e-06,6.7791138065258045e-06,1.0,0.00304275235455811,10
0.1,5.0,additive,0.8,30,0.8,0.003424453942598789,0.0028105508469517797,7.2937447061930485e-06,7.293705313873505e-06,1.0,0.003424453942598789,10
0.1,5.0,additive,0.8,30,0.9,0.003424453942598789,0.0028105508469517797,7.2937447061930485e-06,7.293705313873505e-06,1.0,0.003424453942598789,10
0.1,5.0,additive,0.8,30,0.95,0.003424453942598789,0.0028105508469517797,7.2937447061930485e-06,7.293705313873505e-06,1.0,0.003424453942598789,10
0.2,5.0,additive,0.8,30,0.8,0.004039973005903955,0.0034282150740144366,8.604954888591532e-06,8.604986765329562e-06,1.0,0.004039973005903955,10
0.2,5.0,additive,0.8,30,0.9,0.004039973005903955,0.0034282150740144366,8.604954888591532e-06,8.604986765329562e-06,1.0,0.004039973005903955,10
0.2,5.0,additive,0.8,30,0.95,0.004039973005903955,0.0034282150740144366,8.604954888591532e-06,8.604986765329562e-06,1.0,0.004039973005903955,10
0.2,1.0,additive,0.8,30,0.8,0.004565478113157561,0.003875127508899823,1.0019881227057646e-05,1.0019842314625074e-05,1.0,0.004565478113157561,10
0.2,1.0,additive,0.8,30,0.9,0.004565478113157561,0.003875127508899823,1.0019881227057646e-05,1.0019842314625074e-05,1.0,0.004565478113157561,10
0.2,1.0,additive,0.8,30,0.95,0.004565478113157561,0.003875127508899823,1.0019881227057646e-05,1.0019842314625074e-05,1.0,0.004565478113157561,10
0.1,5.0,multiplicative,0.9,30,0.8,0.0057788111552604,0.004438620220867051,1.0868246212356586e-05,1.0868180937704813e-05,1.0,0.0057788111552604,10
0.1,5.0,multiplicative,0.9,30,0.9,0.0057788111552604,0.004438620220867051,1.0868246212356586e-05,1.0868180937704813e-05,1.0,0.0057788111552604,10
0.1,5.0,multiplicative,0.9,30,0.95,0.0057788111552604,0.004438620220867051,1.0868246212356586e-05,1.0868180937704813e-05,1.0,0.0057788111552604,10
0.05,10.0,additive,0.8,30,0.8,0.006042100866278376,0.00502398648514865,1.2341847311543251e-05,1.2341747160919268e-05,1.0,0.006042100866278376,10
0.05,10.0,additive,0.8,30,0.9,0.006042100866278376,0.00502398648514865,1.2341847311543251e-05,1.2341747160919268e-05,1.0,0.006042100866278376,10
0.05,10.0,additive,0.8,30,0.95,0.006042100866278376,0.00502398648514865,1.2341847311543251e-05,1.2341747160919268e-05,1.0,0.006042100866278376,10
0.1,1.0,multiplicative,0.8,30,0.8,0.006372631924790926,0.005205095404786183,1.2576510424087284e-05,1.2576601438085984e-05,1.0,0.006372631924790926,10
0.1,1.0,multiplicative,0.8,30,0.9,0.006372631924790926,0.005205095404786183,1.2576510424087284e-05,1.2576601438085984e-05,1.0,0.006372631924790926,10
0.1,1.0,multiplicative,0.8,30,0.95,0.006372631924790926,0.005205095404786183,1.2576510424087284e-05,1.2576601438085984e-05,1.0,0.006372631924790926,10
0.1,10.0,multiplicative,0.8,30,0.8,0.007434027749290913,0.0064260472245223355,1.6670291581550264e-05,1.6670176949174695e-05,1.0,0.007434027749290913,10
0.1,10.0,multiplicative,0.8,30,0.9,0.007434027749290913,0.0064260472245223355,1.6670291581550264e-05,1.6670176949174695e-05,1.0,0.007434027749290913,10
0.1,10.0,multiplicative,0.8,30,0.95,0.007434027749290913,0.0064260472245223355,1.6670291581550264e-05,1.6670176949174695e-05,1.0,0.007434027749290913,10
0.2,10.0,multiplicative,0.8,30,0.8,0.007591674437380244,0.00653936863862062,1.6477489802097076e-05,1.6477665194935303e-05,1.0,0.007591674437380244,10
0.2,10.0,multiplicative,0.8,30,0.9,0.007591674437380244,0.00653936863862062,1.6477489802097076e-05,1.6477665194935303e-05,1.0,0.007591674437380244,10
0.2,10.0,multiplicative,0.8,30,0.95,0.007591674437380244,0.00653936863862062,1.6477489802097076e-05,1.6477665194935303e-05,1.0,0.007591674437380244,10
0.2,1.0,multiplicative,0.8,30,0.8,0.008326375077551296,0.006613036266632359,1.6798292981707635e-05,1.679838808875469e-05,1.0,0.008326375077551296,10
0.2,1.0,multiplicative,0.8,30,0.9,0.008326375077551296,0.006613036266632359,1.6798292981707635e-05,1.679838808875469e-05,1.0,0.008326375077551296,10
0.2,1.0,multiplicative,0.8,30,0.95,0.008326375077551296,0.006613036266632359,1.6798292981707635e-05,1.679838808875469e-05,1.0,0.008326375077551296,10
0.2,5.0,multiplicative,0.8,30,0.8,0.008469698212475655,0.006804555600158816,1.7469457720408642e-05,1.7469558805861753e-05,1.0,0.008469698212475655,10
0.2,5.0,multiplicative,0.8,30,0.9,0.008469698212475655,0.006804555600158816,1.7469457720408642e-05,1.7469558805861753e-05,1.0,0.008469698212475655,10
0.2,5.0,multiplicative,0.8,30,0.95,0.008469698212475655,0.006804555600158816,1.7469457720408642e-05,1.7469558805861753e-05,1.0,0.008469698212475655,10
0.1,10.0,multiplicative,0.9,30,0.8,0.008488907269493189,0.007650048700147257,1.8521620342607833e-05,1.8521825301081325e-05,1.0,0.008488907269493189,10
0.1,10.0,multiplicative,0.9,30,0.9,0.008488907269493189,0.007650048700147257,1.8521620342607833e-05,1.8521825301081325e-05,1.0,0.008488907269493189,10
0.1,10.0,multiplicative,0.9,30,0.95,0.008488907269493189,0.007650048700147257,1.8521620342607833e-05,1.8521825301081325e-05,1.0,0.008488907269493189,10
0.2,10.0,additive,0.8,30,0.8,0.009717653873464595,0.009311502386187461,2.3619486219738325e-05,2.3619181155514626e-05,1.0,0.009717653873464595,10
0.2,10.0,additive,0.8,30,0.9,0.009717653873464595,0.009311502386187461,2.3619486219738325e-05,2.3619181155514626e-05,1.0,0.009717653873464595,10
0.2,10.0,additive,0.8,30,0.95,0.009717653873464595,0.009311502386187461,2.3619486219738325e-05,2.3619181155514626e-05,1.0,0.009717653873464595,10
0.05,1.0,additive,0.8,30,0.8,0.01020077558438838,0.008854545742893075,2.1205929645016446e-05,2.1205649551984016e-05,1.0,0.01020077558438838,10
0.05,1.0,additive,0.8,30,0.9,0.01020077558438838,0.008854545742893075,2.1205929645016446e-05,2.1205649551984016e-05,1.0,0.01020077558438838,10
0.05,1.0,additive,0.8,30,0.95,0.01020077558438838,0.008854545742893075,2.1205929645016446e-05,2.1205649551984016e-05,1.0,0.01020077558438838,10
0.05,10.0,additive,0.9,30,0.8,0.010207541148895837,0.00940439847199362,2.3945279727678556e-05,2.394493882687691e-05,1.0,0.010207541148895837,10
0.05,10.0,additive,0.9,30,0.9,0.010207541148895837,0.00940439847199362,2.3945279727678556e-05,2.394493882687691e-05,1.0,0.010207541148895837,10
0.05,10.0,additive,0.9,30,0.95,0.010207541148895837,0.00940439847199362,2.3945279727678556e-05,2.394493882687691e-05,1.0,0.010207541148895837,10
0.2,1.0,additive,0.9,30,0.8,0.010251901254262133,0.009654757545880936,2.448536262570378e-05,2.448570164842607e-05,1.0,0.010251901254262133,10
0.2,1.0,additive,0.9,30,0.9,0.010251901254262133,0.009654757545880936,2.448536262570378e-05,2.448570164842607e-05,1.0,0.010251901254262133,10
0.2,1.0,additive,0.9,30,0.95,0.010251901254262133,0.009654757545880936,2.448536262570378e-05,2.448570164842607e-05,1.0,0.010251901254262133,10
0.05,10.0,multiplicative,0.8,30,0.8,0.010361723082013831,0.008854176516589025,2.3537842796260415e-05,2.3538126230655808e-05,1.0,0.010361723082013831,10
0.05,10.0,multiplicative,0.8,30,0.9,0.010361723082013831,0.008854176516589025,2.3537842796260415e-05,2.3538126230655808e-05,1.0,0.010361723082013831,10
0.05,10.0,multiplicative,0.8,30,0.95,0.010361723082013831,0.008854176516589025,2.3537842796260415e-05,2.3538126230655808e-05,1.0,0.010361723082013831,10
0.05,5.0,additive,0.9,30,0.8,0.011268150421876125,0.009944211343107174,2.5421631416495352e-05,2.54220492172314e-05,1.0,0.011268150421876125,10
0.05,5.0,additive,0.9,30,0.9,0.011268150421876125,0.009944211343107174,2.5421631416495352e-05,2.54220492172314e-05,1.0,0.011268150421876125,10
0.05,5.0,additive,0.9,30,0.95,0.011268150421876125,0.009944211343107174,2.5421631416495352e-05,2.54220492172314e-05,1.0,0.011268150421876125,10
0.1,5.0,additive,0.9,30,0.8,0.011868332404351381,0.010602763420966237,2.6075493828856785e-05,2.607523902476551e-05,1.0,0.011868332404351381,10
0.1,5.0,additive,0.9,30,0.9,0.011868332404351381,0.010602763420966237,2.6075493828856785e-05,2.607523902476551e-05,1.0,0.011868332404351381,10
0.1,5.0,additive,0.9,30,0.95,0.011868332404351381,0.010602763420966237,2.6075493828856785e-05,2.607523902476551e-05,1.0,0.011868332404351381,10
0.1,1.0,additive,0.8,30,0.8,0.012035335541073144,0.01015171154692022,2.4455882429609664e-05,2.4455488639621006e-05,1.0,0.012035335541073144,10
0.1,1.0,additive,0.8,30,0.9,0.012035335541073144,0.01015171154692022,2.4455882429609664e-05,2.4455488639621006e-05,1.0,0.012035335541073144,10
0.1,1.0,additive,0.8,30,0.95,0.012035335541073144,0.01015171154692022,2.4455882429609664e-05,2.4455488639621006e-05,1.0,0.012035335541073144,10
0.05,1.0,additive,0.9,30,0.8,0.012704916541175386,0.01076297405461825,2.908587674047073e-05,2.9086435237631176e-05,1.0,0.012704916541175386,10
0.05,1.0,additive,0.9,30,0.9,0.012704916541175386,0.01076297405461825,2.908587674047073e-05,2.9086435237631176e-05,1.0,0.012704916541175386,10
0.05,1.0,additive,0.9,30,0.95,0.012704916541175386,0.01076297405461825,2.908587674047073e-05,2.9086435237631176e-05,1.0,0.012704916541175386,10
0.05,1.0,multiplicative,0.9,30,0.8,0.013592234860505571,0.012568959751879069,3.1171372990598636e-05,3.117192390295273e-05,1.0,0.013592234860505571,10
0.05,1.0,multiplicative,0.9,30,0.9,0.013592234860505571,0.012568959751879069,3.1171372990598636e-05,3.117192390295273e-05,1.0,0.013592234860505571,10
0.05,1.0,multiplicative,0.9,30,0.95,0.013592234860505571,0.012568959751879069,3.1171372990598636e-05,3.117192390295273e-05,1.0,0.013592234860505571,10
0.05,5.0,multiplicative,0.8,30,0.8,0.017792946318576027,0.016516507810494355,4.032099443519556e-05,4.03200914508553e-05,1.0,0.017792946318576027,10
0.05,5.0,multiplicative,0.8,30,0.9,0.017792946318576027,0.016516507810494355,4.032099443519556e-05,4.03200914508553e-05,1.0,0.017792946318576027,10
0.05,5.0,multiplicative,0.8,30,0.95,0.017792946318576027,0.016516507810494355,4.032099443519556e-05,4.03200914508553e-05,1.0,0.017792946318576027,10
0.1,10.0,additive,0.9,30,0.8,0.02090198244724242,0.015538000033374525,3.8989118768373204e-05,3.89901261948984e-05,1.0,0.02090198244724242,10
0.1,10.0,additive,0.9,30,0.9,0.02090198244724242,0.015538000033374525,3.8989118768373204e-05,3.89901261948984e-05,1.0,0.02090198244724242,10
0.1,10.0,additive,0.9,30,0.95,0.02090198244724242,0.015538000033374525,3.8989118768373204e-05,3.89901261948984e-05,1.0,0.02090198244724242,10
0.1,5.0,multiplicative,0.8,30,0.8,0.02150977995268457,0.01668093702889261,4.108264719747776e-05,4.108133624057436e-05,1.0,0.02150977995268457,10
0.1,5.0,multiplicative,0.8,30,0.9,0.02150977995268457,0.01668093702889261,4.108264719747776e-05,4.108133624057436e-05,1.0,0.02150977995268457,10
0.1,5.0,multiplicative,0.8,30,0.95,0.02150977995268457,0.01668093702889261,4.108264719747776e-05,4.108133624057436e-05,1.0,0.02150977995268457,10
0.05,5.0,multiplicative,0.9,30,0.8,0.02176633860687726,0.01868533042183079,4.572953272541222e-05,4.573086129072012e-05,1.0,0.02176633860687726,10
0.05,5.0,multiplicative,0.9,30,0.9,0.02176633860687726,0.01868533042183079,4.572953272541222e-05,4.573086129072012e-05,1.0,0.02176633860687726,10
0.05,5.0,multiplicative,0.9,30,0.95,0.02176633860687726,0.01868533042183079,4.572953272541222e-05,4.573086129072012e-05,1.0,0.02176633860687726,10
0.05,1.0,multiplicative,0.8,30,0.8,0.02464275542226367,0.01922699180561267,5.238556622186396e-05,5.2386919617058674e-05,1.0,0.02464275542226367,10
0.05,1.0,multiplicative,0.8,30,0.9,0.02464275542226367,0.01922699180561267,5.238556622186396e-05,5.2386919617058674e-05,1.0,0.02464275542226367,10
0.05,1.0,multiplicative,0.8,30,0.95,0.02464275542226367,0.01922699180561267,5.238556622186396e-05,5.2386919617058674e-05,1.0,0.02464275542226367,10
0.2,10.0,multiplicative,0.9,30,0.8,0.02636949440981317,0.023066090252090513,5.7614486837881987e-05,5.761661291874008e-05,1.0,0.02636949440981317,10
0.2,10.0,multiplicative,0.9,30,0.9,0.02636949440981317,0.023066090252090513,5.7614486837881987e-05,5.761661291874008e-05,1.0,0.02636949440981317,10
0.2,10.0,multiplicative,0.9,30,0.95,0.02636949440981317,0.023066090252090513,5.7614486837881987e-05,5.761661291874008e-05,1.0,0.02636949440981317,10
0.1,10.0,additive,0.8,30,0.8,0.02663609931810206,0.02545761031571866,6.438920580062602e-05,6.438693777937781e-05,1.0,0.02663609931810206,10
0.1,10.0,additive,0.8,30,0.9,0.02663609931810206,0.02545761031571866,6.438920580062602e-05,6.438693777937781e-05,1.0,0.02663609931810206,10
0.1,10.0,additive,0.8,30,0.95,0.02663609931810206,0.02545761031571866,6.438920580062602e-05,6.438693777937781e-05,1.0,0.02663609931810206,10
0.05,5.0,additive,0.8,30,0.8,0.028227950301053975,0.026594501933825163,6.677921091641733e-05,6.677673548336429e-05,1.0,0.028227950301053975,10
0.05,5.0,additive,0.8,30,0.9,0.028227950301053975,0.026594501933825163,6.677921091641733e-05,6.677673548336429e-05,1.0,0.028227950301053975,10
0.05,5.0,additive,0.8,30,0.95,0.028227950301053975,0.026594501933825163,6.677921091641733e-05,6.677673548336429e-05,1.0,0.028227950301053975,10
0.2,5.0,multiplicative,0.9,30,0.8,0.03862289856184822,0.034570240833357954,8.456202460324221e-05,8.456629360083103e-05,1.0,0.03862289856184822,10
0.2,5.0,multiplicative,0.9,30,0.9,0.03862289856184822,0.034570240833357954,8.456202460324221e-05,8.456629360083103e-05,1.0,0.03862289856184822,10
0.2,5.0,multiplicative,0.9,30,0.95,0.03862289856184822,0.034570240833357954,8.456202460324221e-05,8.456629360083103e-05,1.0,0.03862289856184822,10
0.05,10.0,multiplicative,0.9,30,0.8,0.051026528093978354,0.047256591677914156,0.00011789736858215298,0.0001179052839826402,1.0,0.051026528093978354,10
0.05,10.0,multiplicative,0.9,30,0.9,0.051026528093978354,0.047256591677914156,0.00011789736858215298,0.0001179052839826402,1.0,0.051026528093978354,10
0.05,10.0,multiplicative,0.9,30,0.95,0.051026528093978354,0.047256591677914156,0.00011789736858215298,0.0001179052839826402,1.0,0.051026528093978354,10
0.1,1.0,additive,0.9,30,0.8,0.056714958594186564,0.053551072627118404,0.00013431668437979174,0.00013430671973476603,1.0,0.056714958594186564,10
